observation_date,DEXNOUS
2005-01-03,6.1035
2005-01-04,6.2407
2005-01-05,6.2135
2005-01-06,6.2665
2005-01-07,6.2971
2005-01-10,6.2675
2005-01-11,6.2278
2005-01-12,6.1726
2005-01-13,6.1952
2005-01-14,6.2558
2005-01-17,
2005-01-18,6.2568
2005-01-19,6.2718
2005-01-20,6.3257
2005-01-21,6.2929
2005-01-24,6.2894
2005-01-25,6.3355
2005-01-26,6.3116
2005-01-27,6.3313
2005-01-28,6.3325
2005-01-31,6.3558
2005-02-01,6.3540
2005-02-02,6.3399
2005-02-03,6.3876
2005-02-04,6.4153
2005-02-07,6.5427
2005-02-08,6.5602
2005-02-09,6.5412
2005-02-10,6.5462
2005-02-11,6.5494
2005-02-14,6.4707
2005-02-15,6.4530
2005-02-16,6.4340
2005-02-17,6.4000
2005-02-18,6.3386
2005-02-21,
2005-02-22,6.2420
2005-02-23,6.2425
2005-02-24,6.2467
2005-02-25,6.2591
2005-02-28,6.2009
2005-03-01,6.2148
2005-03-02,6.2583
2005-03-03,6.2628
2005-03-04,6.2102
2005-03-07,6.2075
2005-03-08,6.1386
2005-03-09,6.1245
2005-03-10,6.0925
2005-03-11,6.0667
2005-03-14,6.1182
2005-03-15,6.1450
2005-03-16,6.0888
2005-03-17,6.0802
2005-03-18,6.1102
2005-03-21,6.1889
2005-03-22,6.1870
2005-03-23,6.2982
2005-03-24,6.3273
2005-03-25,6.3352
2005-03-28,6.3888
2005-03-29,6.3516
2005-03-30,6.3259
2005-03-31,6.3451
2005-04-01,6.3463
2005-04-04,6.3770
2005-04-05,6.3538
2005-04-06,6.3491
2005-04-07,6.3269
2005-04-08,6.3303
2005-04-11,6.3134
2005-04-12,6.3521
2005-04-13,6.3592
2005-04-14,6.4235
2005-04-15,6.3658
2005-04-18,6.2959
2005-04-19,6.2946
2005-04-20,6.2495
2005-04-21,6.2310
2005-04-22,6.2370
2005-04-25,6.2690
2005-04-26,6.2743
2005-04-27,6.2771
2005-04-28,6.3050
2005-04-29,6.2788
2005-05-02,6.3235
2005-05-03,6.2982
2005-05-04,6.2619
2005-05-05,6.2635
2005-05-06,6.3314
2005-05-09,6.3238
2005-05-10,6.2878
2005-05-11,6.3145
2005-05-12,6.3671
2005-05-13,6.3934
2005-05-16,6.4099
2005-05-17,6.4020
2005-05-18,6.4025
2005-05-19,6.4189
2005-05-20,6.4656
2005-05-23,6.4444
2005-05-24,6.4245
2005-05-25,6.3865
2005-05-26,6.3789
2005-05-27,6.3522
2005-05-30,
2005-05-31,6.4272
2005-06-01,6.4572
2005-06-02,6.4579
2005-06-03,6.4588
2005-06-06,6.4120
2005-06-07,6.3968
2005-06-08,6.4241
2005-06-09,6.4672
2005-06-10,6.4607
2005-06-13,6.5241
2005-06-14,6.5380
2005-06-15,6.5062
2005-06-16,6.5103
2005-06-17,6.4471
2005-06-20,6.4789
2005-06-21,6.4737
2005-06-22,6.4968
2005-06-23,6.5962
2005-06-24,6.5634
2005-06-27,6.5382
2005-06-28,6.5809
2005-06-29,6.5327
2005-06-30,6.5381
2005-07-01,6.6032
2005-07-04,
2005-07-05,6.6311
2005-07-06,6.6411
2005-07-07,6.6083
2005-07-08,6.5945
2005-07-11,6.5475
2005-07-12,6.4774
2005-07-13,6.5280
2005-07-14,6.5554
2005-07-15,6.6003
2005-07-18,6.6129
