"08981: Consumer Price Index (2015=100), by contents, month and year"

"contents";"month";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Consumer Price Index (2015=100)";"January";81.2;82.7;83.7;86.7;88.7;90.9;92.7;93.2;94.5;96.6;98.6;101.5;104.3;106.0;109.3;111.3;114.1;117.8;126.1;132.0
"Consumer Price Index (2015=100)";"February";81.3;83.4;84.0;87.2;89.4;92.0;93.1;94.2;95.1;97.1;98.9;102.1;104.7;107.0;110.2;111.2;114.9;119.1;126.6;132.3
"Consumer Price Index (2015=100)";"March";81.7;83.6;84.5;87.2;89.4;92.5;93.4;94.1;95.4;97.3;99.2;102.5;105.0;107.3;110.4;111.2;114.6;119.8;127.6;132.6
"Consumer Price Index (2015=100)";"April";82.1;84.3;84.5;87.2;89.7;92.7;93.9;94.2;95.9;97.7;99.6;102.9;105.2;107.7;110.8;111.7;115.0;121.2;129.0;133.7
"Consumer Price Index (2015=100)";"May";82.4;84.3;84.6;87.2;89.9;92.2;93.7;94.2;96.0;97.8;99.8;103.2;105.4;107.8;110.5;111.9;114.9;121.5;129.6;133.5
"Consumer Price Index (2015=100)";"June";82.4;84.2;84.5;87.4;90.4;92.1;93.4;93.7;95.7;97.5;100.1;103.8;105.8;108.5;110.6;112.1;115.3;122.6;130.4;133.8
"Consumer Price Index (2015=100)";"July";82.2;83.9;84.3;87.9;89.9;91.6;93.1;93.3;96.1;98.3;100.1;104.5;106.1;109.3;111.4;112.9;116.3;124.2;130.9;134.5
"Consumer Price Index (2015=100)";"August";82.3;83.9;84.2;88.0;89.7;91.4;92.6;92.9;96.0;97.9;99.9;103.9;105.3;108.9;110.6;112.5;116.3;123.9;129.9;133.3
"Consumer Price Index (2015=100)";"September";82.9;85.1;84.8;89.3;90.4;92.0;93.4;93.9;96.4;98.5;100.6;104.2;105.9;109.5;111.1;112.9;117.5;125.6;129.8;133.7
"Consumer Price Index (2015=100)";"October";83.0;85.2;85.0;89.6;90.2;92.1;93.3;94.3;96.6;98.6;101.0;104.7;106.0;109.3;111.3;113.2;117.2;126.0;131.1;134.5
"Consumer Price Index (2015=100)";"november";83.0;85.1;86.4;89.1;90.5;92.3;93.3;94.4;96.7;98.6;101.3;104.9;106.1;109.8;111.6;112.4;118.1;125.8;131.8;134.9
"Consumer Price Index (2015=100)";"December";82.9;84.7;87.1;89.0;90.8;93.3;93.4;94.7;96.6;98.6;100.9;104.4;106.1;109.8;111.3;112.9;118.9;125.9;131.9;134.8
