"09190: Final expenditure and gross domestic product, by macroeconomic indicator, quarter and contents"

"macroeconomic indicator";"quarter";"Constant 2022-prices, seasonally adjusted (NOK million)"
"Gross domestic product Mainland Norway, basic values";"1978K1";283997
"Gross domestic product Mainland Norway, basic values";"1978K2";288795
"Gross domestic product Mainland Norway, basic values";"1978K3";289492
"Gross domestic product Mainland Norway, basic values";"1978K4";290758
"Gross domestic product Mainland Norway, basic values";"1979K1";295318
"Gross domestic product Mainland Norway, basic values";"1979K2";296335
"Gross domestic product Mainland Norway, basic values";"1979K3";298524
"Gross domestic product Mainland Norway, basic values";"1979K4";297806
"Gross domestic product Mainland Norway, basic values";"1980K1";305782
"Gross domestic product Mainland Norway, basic values";"1980K2";302067
"Gross domestic product Mainland Norway, basic values";"1980K3";305410
"Gross domestic product Mainland Norway, basic values";"1980K4";307029
"Gross domestic product Mainland Norway, basic values";"1981K1";309519
"Gross domestic product Mainland Norway, basic values";"1981K2";308706
"Gross domestic product Mainland Norway, basic values";"1981K3";308302
"Gross domestic product Mainland Norway, basic values";"1981K4";308760
"Gross domestic product Mainland Norway, basic values";"1982K1";312017
"Gross domestic product Mainland Norway, basic values";"1982K2";310962
"Gross domestic product Mainland Norway, basic values";"1982K3";310072
"Gross domestic product Mainland Norway, basic values";"1982K4";311624
"Gross domestic product Mainland Norway, basic values";"1983K1";311533
"Gross domestic product Mainland Norway, basic values";"1983K2";317154
"Gross domestic product Mainland Norway, basic values";"1983K3";317435
"Gross domestic product Mainland Norway, basic values";"1983K4";319791
"Gross domestic product Mainland Norway, basic values";"1984K1";328615
"Gross domestic product Mainland Norway, basic values";"1984K2";327405
"Gross domestic product Mainland Norway, basic values";"1984K3";333108
"Gross domestic product Mainland Norway, basic values";"1984K4";336247
"Gross domestic product Mainland Norway, basic values";"1985K1";349306
"Gross domestic product Mainland Norway, basic values";"1985K2";344249
"Gross domestic product Mainland Norway, basic values";"1985K3";347817
"Gross domestic product Mainland Norway, basic values";"1985K4";350465
"Gross domestic product Mainland Norway, basic values";"1986K1";350005
"Gross domestic product Mainland Norway, basic values";"1986K2";360350
"Gross domestic product Mainland Norway, basic values";"1986K3";358489
"Gross domestic product Mainland Norway, basic values";"1986K4";357427
"Gross domestic product Mainland Norway, basic values";"1987K1";360596
"Gross domestic product Mainland Norway, basic values";"1987K2";368644
"Gross domestic product Mainland Norway, basic values";"1987K3";362397
"Gross domestic product Mainland Norway, basic values";"1987K4";367348
"Gross domestic product Mainland Norway, basic values";"1988K1";366721
"Gross domestic product Mainland Norway, basic values";"1988K2";364557
"Gross domestic product Mainland Norway, basic values";"1988K3";364850
"Gross domestic product Mainland Norway, basic values";"1988K4";362918
"Gross domestic product Mainland Norway, basic values";"1989K1";360613
"Gross domestic product Mainland Norway, basic values";"1989K2";362156
"Gross domestic product Mainland Norway, basic values";"1989K3";359865
"Gross domestic product Mainland Norway, basic values";"1989K4";365516
"Gross domestic product Mainland Norway, basic values";"1990K1";364285
"Gross domestic product Mainland Norway, basic values";"1990K2";363709
"Gross domestic product Mainland Norway, basic values";"1990K3";365127
"Gross domestic product Mainland Norway, basic values";"1990K4";365836
"Gross domestic product Mainland Norway, basic values";"1991K1";369259
"Gross domestic product Mainland Norway, basic values";"1991K2";371515
"Gross domestic product Mainland Norway, basic values";"1991K3";371063
"Gross domestic product Mainland Norway, basic values";"1991K4";370345
"Gross domestic product Mainland Norway, basic values";"1992K1";380129
"Gross domestic product Mainland Norway, basic values";"1992K2";377396
"Gross domestic product Mainland Norway, basic values";"1992K3";381812
"Gross domestic product Mainland Norway, basic values";"1992K4";379909
"Gross domestic product Mainland Norway, basic values";"1993K1";383949
"Gross domestic product Mainland Norway, basic values";"1993K2";388251
"Gross domestic product Mainland Norway, basic values";"1993K3";388956
"Gross domestic product Mainland Norway, basic values";"1993K4";395156
"Gross domestic product Mainland Norway, basic values";"1994K1";397841
"Gross domestic product Mainland Norway, basic values";"1994K2";400981
"Gross domestic product Mainland Norway, basic values";"1994K3";404515
"Gross domestic product Mainland Norway, basic values";"1994K4";410077
"Gross domestic product Mainland Norway, basic values";"1995K1";412688
"Gross domestic product Mainland Norway, basic values";"1995K2";412419
"Gross domestic product Mainland Norway, basic values";"1995K3";417151
"Gross domestic product Mainland Norway, basic values";"1995K4";418033
"Gross domestic product Mainland Norway, basic values";"1996K1";428245
"Gross domestic product Mainland Norway, basic values";"1996K2";424915
"Gross domestic product Mainland Norway, basic values";"1996K3";431525
"Gross domestic product Mainland Norway, basic values";"1996K4";432499
"Gross domestic product Mainland Norway, basic values";"1997K1";437736
