country,period,sd_growth,mad_lrer_deviation,iso3,sd_temperature,rgdpe_pc,rgdpo_pc,rgdpna_pc,hc,csh_g,pl_c,na_govtcons,rer_na,rer,lrer_deviation,lxr,lxr_deviation,emprate,traderatio_na,tradesum,trade_resid,trade_resid_na,FDIflow_gfc,FDIstock,FDI_gdp,FDIstock_ipol,FDI_gfc,credit_gdp,inflation,inflation_na,infra_com_mobile,infra_com_fixedline,urbanpop,urbanpop_resid,TOT,TOT_pwt,popdens,csh_x,csh_m,eci,ExpProdNo,ExpHHI,ExpDivers,ExpDivIndex,ExpDivIndex_ipol,ExtensiveMargin,IntensiveMargin,man_exportshare,techexports,hightechexpvalue,agri_valadded,agri_empl,remittances,inttot,civtot,actotal,currencycr,sovdebtcr,temperaturecelsius,gini_disp,gini_mkt,infrastructure_index,infra_pca1,infra_pca2,govtcons_wdi,lrgdpe_pc,lrgdpo_pc,lrgdpna_pc,lhc,lkg,lkg_wdi,lkg_na,lrer,lcredit,lmobile,lphoneline,linflation_na,ltot,lFDI,ltraderesid,ltraderesid_na,ltradesum,lurbanpopresid,lexpprodno,lexpHHI,lexpdivers,lFDIstock,lFDIstock_ipol,lEDI_ipol,lremittances,lrer_na,dum_mepv,dum_mepv_low,dum_mepv_high,bankingcr_years,fincrisis_years,dum_bankingcr,dum_fincrisis,geo,abovemedianinc,avgincome,dum_inc_low,dum_inc_mid,dum_inc_high,group_income,NAMES_STD,region_un,dum_region_africa,dum_region_americas,dum_region_asia,dum_region_europe,group_region
Afghanistan,0,,,AFG,8.48446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1343029,4.134303,2.021106473513624,2.1131963476239877,,,,,,,0.0,0.0,0.0,0.0,0.0,12.626667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4193188,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,1,,,,,,Afghanistan,Asia,0,0,1,0,3.0
Afghanistan,1,,,AFG,9.047201,,,,,,,,,,,,,,,,,,0.26186816607499996,,,0.936391,,,,,,,,,,,,,,,,,,3.7483304399999993,3.7483304,1.2345526779958518,2.513777793743066,,,,,,,0.0,0.0,0.0,0.0,0.0,12.596666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06572216,1.3213105,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,1,,,,,,Afghanistan,Asia,0,0,1,0,3.0
Afghanistan,2,,,AFG,8.94029,,,,,,,,,,,,,,,,,,0.0632524476,,,0.53855175,,,,,,,,,,,,,,,,,,3.63442384,3.6344237,1.4878493579711045,2.14657451717036,,,,,,,0.0,2.8,2.8,0.0,0.0,12.796667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6188717,1.2904506,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,1,,,,,,Afghanistan,Asia,0,0,1,0,3.0
Afghanistan,3,,,AFG,8.983903,,,,,,,,,,,,,,,,,,0.6441571491,0.32667590329999996,,0.32667592,,,,,,,,,,,,,,,,,,3.80304004,3.80304,1.87586176177685,1.9271782697784139,,,,,,,0.0,7.0,7.0,0.0,0.0,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1187867,-1.1187867,1.3358008,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Afghanistan,1,,,,,,Afghanistan,Asia,0,0,1,0,3.0
Afghanistan,4,,,AFG,8.535579,,,,,,,,,,,,,,,,,,0.1037361827,0.37757088072,,0.37757087,,,,,,,,,,,,,,,,,,3.87836512,3.878365,2.0794511449451303,1.798914088582388,,,,,,,0.0,7.0,7.0,0.0,0.0,13.168333,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.97399694,-0.973997,1.3554137,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Afghanistan,1,,,,,,Afghanistan,Asia,0,0,1,0,3.0
Afghanistan,5,,,AFG,8.554552,,,,,,,,,,,,,,,,,,0.003438207139999999,0.40322924336000004,,0.40322924,,,,,,,,,,,,,,,,,,3.8523739800000003,3.852374,1.8074862517463781,2.044887717603704,,,,,,,0.0,7.0,7.0,0.0,0.0,12.961666,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.90825003,-0.90825003,1.3486896,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Afghanistan,1,,,,,,Afghanistan,Asia,0,0,1,0,3.0
Afghanistan,6,,,AFG,8.704647,,,,,,,,,,,,,,,,,,0.31307954292,0.42603745472,,0.42603746,,,,,,,,,,,,,,,59.2,0.28886455596000005,0.77604921778,3.03107778,3.0310779,0.9365647562727183,2.094513007896602,,,,,,,0.0,7.0,7.0,0.0,0.0,13.178333,,,,,,,,,,,,,,,,,,,,,,,,,4.0809216,-1.2417973,-0.25353932,-0.85322803,-0.853228,1.1089183,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Afghanistan,1,,,,,,Afghanistan,Asia,0,0,1,0,3.0
Afghanistan,7,,,AFG,8.5775585,,,,,,,,,,,,,,,,,,7.864774542539999,2.14115473888,,2.1411548,,,,,,,,,,,,,,,55.6,0.40027050299999994,0.8064752647000001,2.99071684,2.990717,1.038525791878858,1.952191081334604,,,,,,,0.0,5.2,5.2,0.0,0.0,13.785,,,,,,,,,,,,,,,,,,,,,,,,,4.018183,-0.9156147,-0.21508205,0.76134527,0.76134527,1.0955131,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Afghanistan,1,,,,,,Afghanistan,Asia,0,0,1,0,3.0
Afghanistan,8,,,AFG,8.9795,,,,,,,,,,,,,,,,,,10.55280752122,8.383283390399999,,8.383284,,,,,,,,,,,,,,,125.6,0.29136911052,0.7125622592,2.74822774,2.7482278,0.877081741951226,1.8711459814847342,,,,,,,0.0,4.0,4.0,0.0,0.0,13.766666,31.7,33.666664,,,,,,,,,,,,,,,,,,,,,,,4.833102,-1.2331644,-0.338888,2.1262395,2.1262398,1.0109563,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,1,,,,,,Afghanistan,Asia,0,0,1,0,3.0
Afghanistan,9,,,AFG,9.079879,,,,,,,,,,,,,,,,,,1.47622034354,5.34002480834,,5.340025,,,,,,,,,,,,,,,77.6,0.27284865676000003,0.77071302536,3.06142718,3.061427,1.009116661897999,2.052310513789416,,,,,,,0.0,4.0,4.0,0.0,0.0,13.723333,31.88,34.04,,,,,,,,,,,,,,,,,,,,,,,4.3515673,-1.298838,-0.2604392,1.6752303,1.6752304,1.1188812,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,1,,,,,,Afghanistan,Asia,0,0,1,0,3.0
